"AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","returns"
4.999643,5.025,4.714643,4.842857,2005866800,4.121844,-0.0249515481440109
4.963929,4.9675,4.628929,4.643214,1554739200,3.951926,-0.0412242195051392
4.577143,4.757143,4.516071,4.643214,1474844000,3.951926,0
4.683929,4.7425,4.608929,4.697857,1099982800,3.998432,0.0117683570044369
4.691786,4.8375,4.642857,4.720714,1243051600,4.017886,0.00486540990924156
4.623214,4.880357,4.621429,4.834286,1345674400,4.114551,0.0240582250905266
4.865714,4.878214,4.720714,4.776786,1010744000,4.065609,-0.0118942073348576
4.793214,4.853571,4.693571,4.701786,899234000,4.001776,-0.015700933640318
4.658214,4.785714,4.603571,4.62,1141042000,3.932166,-0.0173946666224282
4.6725,4.711429,4.348929,4.357143,1573272400,3.708445,-0.0568954545454546
4.284643,4.456429,4.188214,4.33,2083331600,3.685343,-0.00622954077935922
4.36,4.489286,4.342857,4.481429,1355972800,3.814227,0.0349720554272517
4.571786,4.642143,4.542857,4.623214,1201432400,3.934903,0.0316383457151725
4.667857,4.678571,4.415,4.459286,1225980000,3.795381,-0.0354575842692985
4.524286,4.635,4.486786,4.621429,968534000,3.933382,0.0363607537170749
4.621429,4.671429,4.536071,4.552143,954097200,3.874413,-0.0149923324582072
4.509643,4.538571,4.430714,4.451071,901300400,3.788388,-0.0222031689250536
4.499643,4.526786,4.337143,4.363571,1005046000,3.713916,-0.0196581901299708
4.364286,4.45,4.345714,4.422143,967439200,3.763767,0.0134229510646211
4.501786,4.516786,4.316429,4.340714,938114800,3.694462,-0.0184139228423866
4.374286,4.375357,4.138214,4.266429,1529878000,3.631235,-0.017113543992993
4.235357,4.291786,4.166429,4.276429,1256774400,3.639747,0.00234388056147217
4.201429,4.324643,4.122857,4.255357,1504888000,3.621814,-0.00492747570461249
4.2225,4.394643,4.2175,4.391429,1475138000,3.737627,0.0319766355678266
4.542857,4.721429,4.491786,4.639643,1618254400,3.948886,0.0565223757460274
4.6175,4.650357,4.457143,4.465,1255480800,3.800243,-0.0376414737082144
4.444286,4.499286,4.214286,4.3475,1593043200,3.700238,-0.0263157894736842
4.356786,4.46,4.3,4.450714,1785383600,3.788084,0.0237410005750429
4.413571,4.469286,4.366071,4.446071,1221836000,3.784132,-0.00104320340511654
4.450357,4.553571,4.314643,4.318929,1473698800,3.67592,-0.0285964844016211
4.300357,4.392143,4.251786,4.366071,1230462800,3.716043,0.0109152060615028
4.356429,4.409286,4.263214,4.274643,999588800,3.638227,-0.0209405664726936
4.432143,4.552857,4.357143,4.548214,1163943200,3.871068,0.0639985608154878
4.537143,4.595714,4.470357,4.501071,1059629200,3.830944,-0.0103651675141055
4.432143,4.625,4.392857,4.569286,1262102800,3.889004,0.0151552819317893
4.638571,4.653571,4.435714,4.521786,1156640800,3.848575,-0.0103954972396125
4.376786,4.5925,4.376786,4.526071,1072598800,3.852224,0.000947634408174247
4.613571,4.75,4.595357,4.743571,1205120000,4.03734,0.0480549244587636
4.754286,4.796071,4.631071,4.631071,1010536800,3.941589,-0.0237163099276895
4.682857,4.760357,4.613571,4.759643,908787600,4.051018,0.027762908407148
4.786071,5.030357,4.772857,4.983214,1066920400,4.241305,0.0469722203955214
4.998571,5.110714,4.904643,5.035,1052391200,4.285381,0.0103920883189041
5.031071,5.205,5.022857,5.180714,1182084400,4.409401,0.028940218470705
5.176786,5.189643,4.999643,5.008929,999829600,4.263191,-0.0331585569093372
5.064286,5.166071,5.057143,5.1075,714610400,4.347086,0.0196790571397598
5.116786,5.203929,5.09,5.125,768065200,4.361982,0.00342633382280955
5.225,5.345,5.128929,5.340357,1032567200,4.545276,0.0420208780487805
5.313571,5.4,5.208929,5.2675,1044968400,4.483268,-0.0136427208892589
5.252143,5.486786,5.25,5.414643,1051568000,4.608501,0.0279341243474134
5.435357,5.525357,5.383929,5.467143,854417200,4.653187,0.00969593009179004
5.576071,5.703214,5.539643,5.5675,1158326400,4.738601,0.0183563883366504
5.483929,5.5875,5.44,5.458571,1014294400,4.645889,-0.0195651549169286
5.475357,5.496071,5.373571,5.408571,873398400,4.603335,-0.00915990650300236
5.3975,5.550714,5.378571,5.519643,955763200,4.697868,0.0205362932279154
5.454286,5.475,5.228571,5.255,1210076000,4.472628,-0.0479456732980739
5.241786,5.330357,5.162143,5.277857,845087600,4.492081,0.00434957183634643
5.335714,5.347143,5.204286,5.299286,698037200,4.510321,0.00406017063364938
5.418571,5.503571,5.379286,5.489286,795774000,4.672033,0.0358538867311557
5.506071,5.571429,5.476786,5.5175,704267200,4.696044,0.00513983057177203
5.682857,5.795,5.656429,5.751429,1026765600,4.895147,0.0423976438604441
5.793214,6.017857,5.777143,6.005714,1039152800,5.111574,0.0442124904958403
5.978571,6,5.646071,5.721429,1439572400,4.869613,-0.0473357539170198
5.858929,5.887143,5.752857,5.8175,1504190800,4.951381,0.016791434447583
5.905,6.070714,5.685357,6.033571,1696066400,5.135283,0.0371415556510528
6.096429,6.110714,5.943571,6.061786,992474000,5.159297,0.00467633512558319
6.0625,6.205357,6.040357,6.151429,787214400,5.235594,0.0147882158822499
6.111071,6.273571,6.080357,6.251786,923476400,5.321009,0.0163144206004815
6.2925,6.428571,6.175714,6.2125,1139524400,5.287573,-0.00628396429436318
6.248571,6.428571,6.245,6.428571,903576800,5.471474,0.0347800402414487
6.435357,6.497143,6.376786,6.462143,1006082000,5.500048,0.00522231145926533
6.497143,6.618214,6.466071,6.5975,854557200,5.615253,0.0209461474312778
6.595,6.682857,6.506429,6.666429,918870400,5.673921,0.0104477453580902
6.644643,6.721429,6.447857,6.521071,1157133600,5.550203,-0.0218044773296168
6.563214,6.660714,6.538214,6.609286,899085600,5.625286,0.0135276858663247
6.541429,6.580357,6.4775,6.551786,673072400,5.576344,-0.00869988074354777
6.614643,6.745357,6.530357,6.72,818563200,5.719515,0.0256745259994755
6.736071,6.8375,6.709286,6.784286,823236400,5.774231,0.00956636904761909
6.829643,6.865714,6.6275,6.652143,916823600,5.66176,-0.0194778050335732
6.671786,6.782143,6.578571,6.776071,873208000,5.76724,0.0186297859201163
6.789643,6.796429,6.678571,6.700714,765769200,5.703101,-0.0111210463998975
