"","META.Open","META.High","META.Low","META.Close","META.Volume","META.Adjusted"
"2224",290.450012,299.709991,286.75,293.540009,28273100,293.540009
"2225",293.149994,298,289.809998,290.630005,23000900,290.630005
"2226",291,291.720001,281.160004,282.140015,18675000,282.140015
"2227",280.980011,288.059998,277.75,278.73999,24505600,278.73999
"2228",278.299988,284.5,277.769989,283.019989,17629200,283.019989
"2229",285.769989,293.179993,284.700012,290.820007,21718800,290.820007
"2230",289.829987,292.470001,286.700012,288,17474500,288
"2231",289.98999,296.5,288.609985,294.529999,19498200,294.529999
"2232",298.399994,302.399994,296.600006,298.660004,17616000,298.660004
"2233",300.890015,310.769989,300.679993,308.910004,28237000,308.910004
"2234",308.839996,311.350006,305.25,306.26001,17335200,306.26001
"2235",306.339996,314.25,305.5,313.089996,22855200,313.089996
"2236",314.850006,315.880005,310.049988,313.019989,20894100,313.019989
"2237",311.399994,314.73999,310.329987,312.459991,15988600,312.459991
"2238",311.049988,312.149994,307.929993,311.540009,10881900,311.540009
"2239",312.209991,314.429993,309.320007,309.76001,14036900,309.76001
"2240",307.299988,308.029999,301.950012,302.820007,17421400,302.820007
"2241",306.339996,310.140015,304.100006,307.820007,14558300,307.820007
"2242",308.170013,308.950012,304.609985,306.179993,13059200,306.179993
"2243",305.01001,307.700012,300.559998,302.23999,14553500,302.23999
"2244",301.98999,305.100006,297.209991,302.649994,16796400,302.649994
"2245",301.950012,301.980011,297.390015,301.470001,14863500,301.470001
"2246",301.329987,302.920013,296.040009,296.519989,16375400,296.519989
"2247",298.76001,302.589996,297.149994,301.130005,17536800,301.130005
"2248",303.339996,305.799988,301.559998,303.040009,16172600,303.040009
"2249",304.279999,305.339996,301.109985,303.570007,15309300,303.570007
"2250",307.359985,310.920013,305.369995,307.100006,33907200,307.100006
"2251",330.119995,331.809998,321.609985,329.51001,56526800,329.51001
"2252",326.140015,329.820007,324.5,325.079987,26332400,325.079987
"2253",326.170013,328.549988,321.839996,322.579987,18719500,322.579987
"2254",320.019989,322.190002,313.119995,318.359985,24032600,318.359985
"2255",318.190002,321.059998,314.48999,315.019989,15577600,315.019989
"2256",314.519989,320.23999,313.269989,320.019989,19012200,320.019989
"2257",322.380005,322.940002,318.75,319.079987,15916700,319.079987
"2258",314.350006,314.579987,304.829987,305.970001,24239200,305.970001
"2259",300.75,306.839996,299.690002,306.529999,18920100,306.529999
"2260",301.130005,304.959991,298.190002,302.549988,24645500,302.549988
"2261",306.079987,308.859985,302.769989,305.26001,18079200,305.26001
"2262",309.540009,316.850006,309.079987,315.940002,19245700,315.940002
"2263",313.549988,315.679993,311.579987,315.459991,15401300,315.459991
"2264",315.589996,316.5,309.809998,309.959991,14522400,309.959991
"2265",304.190002,314.660004,303.570007,313.589996,19106200,313.589996
"2266",313.579987,319.25,313.160004,318.609985,17320200,318.609985
"2267",319.290009,319.929993,315.809998,316.230011,13600900,316.230011
"2268",318.209991,325.950012,318.029999,324.630005,16445400,324.630005
"2269",327.079987,329.179993,324.799988,327.790009,16437000,327.790009
"2270",328.350006,329.829987,325.820007,327.660004,9686900,327.660004
"2271",328,333.779999,326.76001,332.75,20477700,332.75
"2272",331,332.869995,328.329987,328.730011,12037400,328.730011
"2273",330.149994,331.420013,326.640015,329.130005,11765900,329.130005
"2274",330.380005,331.869995,327.119995,329.149994,11654300,329.149994
"2275",325.779999,327.380005,323.480011,326.040009,12610800,326.040009
"2276",325.899994,332.459991,325.179993,330.350006,13289400,330.350006
"2277",329.480011,337.690002,328.929993,336.579987,20136700,336.579987
"2278",336.700012,338.299988,332.23999,333.679993,14580500,333.679993
"2279",335.73999,336.799988,330,330.25,13727900,330.25
"2280",330.790009,333.940002,328.549988,332.459991,13240200,332.459991
"2281",332.579987,332.829987,328.929993,331.26001,13587900,331.26001
"2282",331.899994,336.820007,329.809998,336.769989,12250800,336.769989
"2283",336.98999,339.920013,335.029999,336.75,15795200,336.75
"2284",336.700012,337.549988,328.720001,331.079987,17232200,331.079987
"2285",330.48999,337.980011,330.149994,336.51001,17794100,336.51001
"2286",334.529999,336.149994,329,329.660004,23039500,329.660004
"2287",331.089996,332.920013,327.649994,332.290009,11337500,332.290009
"2288",332.690002,339.920013,332.600006,339.029999,15345300,339.029999
"2289",339.350006,343.420013,338.200012,340.589996,14817800,340.589996
