"AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted","returns"
4.3985,4.406,4.175,4.299,204610000,4.299,-0.0190530519110097
4.2175,4.301,4.138,4.2185,149062000,4.2185,-0.0187252849499885
4.2305,4.375,4.2185,4.3635,158680000,4.3635,0.0343724072537632
4.3205,4.458,4.308,4.352,167956000,4.352,-0.00263549902601123
4.34,4.348,4.07,4.179,236064000,4.179,-0.0397518382352942
4.121,4.121,3.942,3.9445,232404000,3.9445,-0.0561139028475712
3.913,4.0045,3.825,3.85,187938000,3.85,-0.0239574090505768
3.8955,4.0025,3.89,3.993,189926000,3.993,0.0371428571428571
4.02,4.0575,3.9075,3.9255,168548000,3.9255,-0.0169045830202855
3.9715,3.9865,3.835,3.8925,156630000,3.8925,-0.00840657241115783
3.8505,3.9495,3.8315,3.93,142282000,3.93,0.0096339113680155
3.9415,3.9875,3.897,3.959,172996000,3.959,0.00737913486005093
3.993,4.1,3.9155,4.0195,232200000,4.0195,0.0152816367769639
3.962,4.043,3.9325,3.988,133566000,3.988,-0.00783679562134587
4.0055,4.0725,3.949,4.0715,55618000,4.0715,0.0209378134403211
4.115,4.2245,4.057,4.065,172210000,4.065,-0.00159646321994344
4.146,4.2825,4.1105,4.2795,172684000,4.2795,0.0527675276752766
4.3775,4.5285,4.3375,4.515,228068000,4.515,0.0550297932001402
4.4945,4.5735,4.434,4.4575,139542000,4.4575,-0.0127353266888151
4.528,4.554,4.4155,4.528,137632000,4.528,0.0158160403813796
4.5015,4.6125,4.4885,4.5455,120010000,4.5455,0.00386484098939932
4.502,4.728,4.502,4.7205,146758000,4.7205,0.0384996150038501
4.7495,4.7495,4.599,4.6595,132172000,4.6595,-0.0129223599195001
4.664,4.75,4.6415,4.7105,109454000,4.7105,0.0109453804056228
4.728,4.734,4.6455,4.7155,78696000,4.7155,0.00106145844390193
4.7155,4.7175,4.615,4.651,103612000,4.651,-0.0136782949846251
4.655,4.797,4.5375,4.5375,205392000,4.5375,-0.0244033541173941
4.642,4.6875,4.466,4.564,144562000,4.564,0.00584022038567511
4.5525,4.65,4.5315,4.62,120926000,4.62,0.0122699386503067
4.5385,4.562,4.4465,4.454,120046000,4.454,-0.035930735930736
4.4505,4.453,4.2495,4.2545,153954000,4.2545,-0.044791198922317
4.2915,4.373,4.193,4.3445,145322000,4.3445,0.0211540721588905
4.347,4.4975,4.3415,4.469,152324000,4.469,0.0286569225457476
4.507,4.5375,4.4545,4.529,117596000,4.529,0.0134258223316177
4.5735,4.614,4.5195,4.563,132098000,4.563,0.00750717597703687
4.5525,4.578,4.515,4.5505,40342000,4.5505,-0.00273942581634878
4.574,4.697,4.525,4.6425,108844000,4.6425,0.0202175585100537
4.6335,4.7645,4.625,4.7125,142274000,4.7125,0.0150780829294561
4.7635,4.795,4.605,4.7225,151758000,4.7225,0.0021220159151194
4.6905,4.7185,4.6225,4.632,115104000,4.632,-0.0191635786130229
4.7675,4.8715,4.735,4.8125,277174000,4.8125,0.0389680483592401
4.803,4.8625,4.726,4.7605,182450000,4.7605,-0.0108051948051947
4.663,4.67,4.425,4.4395,205400000,4.4395,-0.0674298918180865
4.431,4.5285,4.2735,4.441,199632000,4.441,0.000337875886924133
4.3775,4.5915,4.3465,4.394,245666000,4.394,-0.0105832019815356
4.378,4.39,4.012,4.261,328218000,4.261,-0.0302685480200273
4.199,4.2985,4.1485,4.213,232198000,4.213,-0.0112649612766956
4.2015,4.2015,4.0145,4.054,212486000,4.054,-0.0377403275575598
4.109,4.166,3.9435,4.1435,181122000,4.1435,0.0220769610261471
4.0245,4.0505,3.9255,4.012,193118000,4.012,-0.0317364546880659
3.979,4.118,3.922,4.0175,248140000,4.0175,0.00137088733798607
4.008,4.1125,3.977,4.006,198018000,4.006,-0.00286247666459238
3.9965,4.1155,3.902,3.988,267286000,3.988,-0.00449326010983531
3.679,3.986,3.611,3.924,256444000,3.924,-0.0160481444332999
3.78,3.84,3.4975,3.6985,408114000,3.6985,-0.057466870540265
3.7265,3.894,3.7095,3.8835,197732000,3.8835,0.0500202784912802
3.9345,4.0715,3.8165,3.88,200552000,3.88,-0.000901248873439009
3.8455,3.87,3.717,3.791,170106000,3.791,-0.0229381443298969
3.7885,3.795,3.603,3.6975,199160000,3.6975,-0.0246636771300449
3.677,3.871,3.6625,3.7105,505974000,3.7105,0.00351588911426659
3.4455,3.9435,3.442,3.885,857718000,3.885,0.0470287023312221
3.951,3.97,3.6685,3.7315,327220000,3.7315,-0.0395109395109394
3.725,3.833,3.695,3.6975,183104000,3.6975,-0.00911161731207299
3.64,3.7105,3.6,3.6045,192678000,3.6045,-0.0251521298174442
3.615,3.6215,3.4085,3.4245,247990000,3.4245,-0.0499375780274656
3.3685,3.6355,3.361,3.5455,290034000,3.5455,0.035333625346766
3.67,3.73,3.626,3.675,234008000,3.675,0.0365251727541953
3.657,3.798,3.6385,3.7595,155274000,3.7595,0.0229931972789117
3.7715,3.8525,3.6895,3.7225,188980000,3.7225,-0.00984173427317458
3.7495,3.9425,3.6635,3.8865,221406000,3.8865,0.04405641370047
3.8865,3.894,3.759,3.79,149944000,3.79,-0.0248295381448603
3.75,3.7595,3.597,3.648,222402000,3.648,-0.0374670184696569
3.677,3.7,3.5775,3.604,142184000,3.604,-0.0120614035087719
3.595,3.694,3.555,3.682,129014000,3.682,0.0216426193118757
3.697,3.7105,3.4685,3.495,263016000,3.495,-0.0507876154263986
3.527,3.6105,3.493,3.604,246854000,3.604,0.0311874105865522
3.6175,3.675,3.5705,3.6635,157164000,3.6635,0.016509433962264
3.5955,3.675,3.514,3.5845,197826000,3.5845,-0.0215640780674219
3.534,3.574,3.4785,3.5435,178610000,3.5435,-0.0114381364207002
3.515,3.53,3.3555,3.3925,263356000,3.3925,-0.0426132355016227
3.3505,3.375,3.1985,3.2235,233292000,3.2235,-0.0498157700810612
3.1795,3.2245,3.06,3.1215,274422000,3.1215,-0.0316426244765007
3.0835,3.33,3.0615,3.267,334072000,3.267,0.0466122056703506
3.283,3.317,3.191,3.2495,222528000,3.2495,-0.00535659626568719
3.2375,3.273,3.125,3.137,166866000,3.137,-0.0346207108785966
3.11,3.2435,3.1005,3.2045,208762000,3.2045,0.0215173732865794
3.195,3.2575,3.1455,3.1735,186420000,3.1735,-0.00967389608363234
3.2975,3.3585,3.1855,3.3575,194858000,3.3575,0.0579801481014652
3.3385,3.4115,3.282,3.3255,154976000,3.3255,-0.00953090096798215
3.2555,3.4775,3.2185,3.416,214150000,3.416,0.0272139527890543
3.4305,3.534,3.303,3.411,248414000,3.411,-0.00146370023419196
3.286,3.3895,3.246,3.3265,194182000,3.3265,-0.0247727939020815
3.4125,3.5965,3.3795,3.585,191014000,3.585,0.0777093040733505
3.555,3.7,3.5085,3.5085,220838000,3.5085,-0.0213389121338912
3.5085,3.6745,3.469,3.6595,228214000,3.6595,0.0430383354709989
3.691,3.8465,3.6375,3.7975,187908000,3.7975,0.0377100696816506
3.7915,3.8145,3.7025,3.7585,126550000,3.7585,-0.0102699144173798
3.707,3.756,3.662,3.69,125702000,3.69,-0.0182253558600506
3.7185,3.7345,3.54,3.54,158848000,3.54,-0.040650406504065
3.55,3.6105,3.463,3.488,105582000,3.488,-0.0146892655367232
3.5125,3.582,3.4815,3.565,109406000,3.565,0.0220756880733946
3.6495,3.8545,3.638,3.835,194680000,3.835,0.0757363253856942
3.854,3.95,3.806,3.8685,171848000,3.8685,0.00873533246414615
3.7575,3.8005,3.6905,3.747,162998000,3.747,-0.0314075222954634
3.763,3.8915,3.714,3.8435,143056000,3.8435,0.0257539364825194
3.868,3.9215,3.8,3.845,133448000,3.845,0.000390269285807321
3.82,3.8805,3.775,3.865,99320000,3.865,0.00520156046814035
3.828,3.8335,3.683,3.7195,133206000,3.7195,-0.0376455368693402
