"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2395",23.924999,24.125,23.905001,23.985001,100558400,22.177536
"2396",24.122499,24.2225,24.012501,24.17,115648400,22.348595
"2397",24.1875,24.4125,24.182501,24.245001,95179600,22.41794
"2398",24.2925,24.424999,24.280001,24.355,96670000,22.519646
"2399",24.352501,24.4175,24.209999,24.217501,103568800,22.392509
"2400",24.3475,24.747499,24.33,24.6975,155676000,22.836336
"2401",24.73,24.825001,24.625,24.695,120548000,22.834024
"2402",24.674999,25.032499,24.65,24.9575,145975600,23.076744
"2403",24.889999,25,24.834999,24.967501,95119600,23.085989
"2404",25,25.115,24.934999,24.99,105104000,23.106794
"2405",24.9575,25.25,24.782499,24.8575,130808000,22.98428
"2406",24.815001,24.825001,24.577499,24.665001,113254800,22.80629
"2407",24.5625,24.709999,24.23,24.334999,161531600,22.501158
"2408",24.205,24.4925,24.105,24.1675,224959200,22.346275
"2409",26.067499,26.0875,25.6875,25.737499,369379200,23.797962
"2410",25.7075,26.112499,25.705,26.084999,159479200,24.119274
"2411",26.047501,26.137501,25.92,26.0525,110934800,24.089228
"2412",26.102501,26.5375,26.102501,26.512501,152671600,24.514559
"2413",26.512501,26.5175,26,26.120001,135266400,24.151642
"2414",26.202499,26.459999,26.192499,26.4475,120810400,24.454458
"2415",26.395,26.5,26.32,26.467501,109634800,24.605532
"2416",26.567499,26.9125,26.545,26.870001,162213600,24.979712
"2417",26.879999,27.092501,26.790001,27.092501,112148800,25.186563
"2418",27.057501,27.235001,27.002501,27.202499,105260800,25.288826
"2419",27.1775,27.225,26.940001,27,96034000,25.100565
"2420",27.129999,27.2325,26.9625,26.9825,109938000,25.084299
"2421",26.945,27.110001,26.945,27.045,74641600,25.142403
"2422",27.035,27.385,27.02,27.370001,103472800,25.444538
"2423",27.407499,27.557501,27.3025,27.344999,135177600,25.421299
"2424",27.275,27.342501,27.084999,27.305,101424000,25.384111
"2425",27.307501,27.4,27.254999,27.27,87938800,25.351572
"2426",27.192499,27.422501,27.09,27.34,101472400,25.416645
"2427",27.215,27.275,26.9625,27.127501,103280800,25.219097
"2428",27.147499,27.33,27.1325,27.2125,85030800,25.298119
"2429",27.1425,27.1875,26.92,27.0075,94700400,25.107534
"2430",26.8475,26.969999,26.67,26.8925,100344800,25.000631
"2431",26.852501,26.987499,26.577499,26.735001,111065200,24.854208
"2432",26.655001,26.860001,26.5725,26.705,99881200,24.826323
"2433",26.450001,26.625,26.375,26.5,99455600,24.635742
"2434",26.415001,26.6425,26.41,26.525,118649600,24.658983
"2435",26.535,26.700001,26.405001,26.682501,106806000,24.805395
"2436",26.924999,27,26.705,26.932501,107210000,25.037817
"2437",26.975,27.075001,26.877501,26.924999,107521600,25.03084
"2438",26.9575,27.190001,26.7675,27.09,169457200,25.184238
"2439",26.8125,26.817499,26.309999,26.379999,212008000,24.524178
"2440",26.16,26.43,25.782499,25.782499,186228000,23.968719
"2441",25.6625,26.43,25.6325,26.360001,181171200,24.505587
"2442",26.877501,27.1975,26.809999,26.987499,248704800,25.088945
"2443",27.182501,28.2575,27.15,27.942499,443554800,25.976761
"2444",28.465,28.932501,28.372499,28.8925,359934400,26.859932
"2445",28.780001,29.032499,28.51,28.73,319547600,26.708864
"2446",28.797501,29.045,28.3125,28.395,188092000,26.39743
"2447",28.262501,28.530001,28.127501,28.3925,138057200,26.395105
"2448",28.4625,28.497499,28.110001,28.387501,144012800,26.390455
"2449",28.5875,28.735001,28.5,28.655001,124296000,26.639141
"2450",28.605,28.6975,27.887501,28.1775,209924800,26.195229
"2451",27.91,28.3475,27.887501,28.219999,119477600,26.234735
"2452",28.25,28.295,28.084999,28.272499,98429600,26.283545
"2453",28.422501,28.66,28.3575,28.487499,118564400,26.483418
"2454",28.290001,28.450001,27.950001,28.045,143548000,26.07205
"2455",28.115,28.342501,27.950001,28.262501,145516400,26.274252
"2456",28.1775,28.262501,28.07,28.129999,86807200,26.151072
"2457",28.264999,28.577499,28.157499,28.25,118947200,26.262629
"2458",28.35,28.415001,28.172501,28.262501,85812400,26.274252
"2459",28.424999,28.584999,28.282499,28.4725,115117200,26.469477
"2460",28.577499,28.639999,28.377501,28.514999,97433600,26.508991
"2461",28.754999,29.1875,28.68,29.012501,144944000,26.971487
"2462",29.424999,29.672501,29.049999,29.075001,256164000,27.029593
"2463",29.3375,29.495001,29.1875,29.334999,150347200,27.271299
"2464",29.1975,29.360001,28.93,29.245001,140769600,27.187632
"2465",29.469999,29.5425,29.282499,29.407499,142608800,27.338697
"2466",29.3325,29.459999,29.195,29.387501,94499600,27.320108
"2467",29.545,29.5525,29.362499,29.3675,98214000,27.301516
"2468",29.3125,29.440001,28.450001,29.280001,80138400,27.220175
"2469",29.215,29.344999,29.0825,29.264999,96503200,27.206221
"2470",29.202499,29.227501,29.07,29.15,92770800,27.099319
"2471",29.275,29.434999,29.25,29.4125,94154800,27.343344
"2472",29.487499,29.59,29.327499,29.5625,192516000,27.4828
"2473",28.577499,28.924999,28.327499,28.897499,264536800,26.864573
"2474",28.8475,28.965,28.525,28.620001,138248000,26.606604
"2475",28.467501,28.8025,28.362499,28.43,151446800,26.429972
"2476",28.4125,28.557501,28.299999,28.385,105677600,26.388132
"2477",28.365,28.442499,27.6325,27.872499,175303200,25.911684
"2478",27.85,28.0875,27.807501,27.897499,113326800,25.934925
"2479",27.745001,27.865,27.387501,27.4575,107730400,25.656937
"2480",27.1325,27.5625,27.0275,27.209999,123348000,25.425667
"2481",27.52,27.627501,27.365,27.602501,130240000,25.792427
"2482",27.577499,27.93,27.424999,27.764999,97016800,25.944269
"2483",27.469999,27.83,27.012501,27.719999,236705600,25.902227
"2484",27.772499,27.772499,26.4575,26.9475,228538000,25.180382
"2485",26.780001,27.217501,26.637501,27.1075,136575600,25.329887
"2486",26.9275,26.952499,26.02,26.4275,204702000,24.694479
"2487",26.6425,26.92,26.540001,26.7775,129058000,25.021524
"2488",26.674999,27.557501,26.65,27.497499,235362000,25.694315
"2489",27.452499,27.5875,27.2075,27.487499,110528000,25.684967
"2490",27.43,27.635,27.415001,27.514999,113715600,25.710665
"2491",27.530001,27.997499,27.502501,27.932501,117058400,26.100788
"2492",27.987499,28.105,27.85,27.950001,103862000,26.11714
"2493",27.84,27.877501,27.5825,27.807501,109705600,25.983984
"2494",27.782499,27.967501,27.737499,27.9475,45903600,26.114801
"2495",27.8575,28.1175,27.8475,27.8925,108776000,26.06341
"2496",27.695,28.0075,27.5175,27.865,114115200,26.037712
"2497",27.9,28.049999,27.567499,27.629999,144649200,25.818129
"2498",27.592501,27.735001,27.2575,27.372499,148347600,25.577509
"2499",27.2925,27.522499,27.2125,27.475,106112000,25.673286
"2500",27.5,27.5075,27.0625,27.2775,137298000,25.488739
